county,region,fips,race,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,current_as_of
Adams,3,18001,Asian,19,11,,30,11,,,,,,3/23/2021 5:00
Adams,3,18001,Black or African American,8,,,13,5,,,,,,3/23/2021 5:00
Adams,3,18001,Other Race,99,66,9,174,75,,,,,,3/23/2021 5:00
Adams,3,18001,Unknown,131,63,40,234,103,,,,5,,3/23/2021 5:00
Adams,3,18001,White,6032,4206,109,10347,4315,65,74,,139,74,3/23/2021 5:00
Allen,3,18003,Asian,1889,1221,77,3187,1298,64,14,,78,14,3/23/2021 5:00
Allen,3,18003,Black or African American,4430,2379,122,6931,2501,83,39,,123,40,3/23/2021 5:00
Allen,3,18003,Other Race,3334,2315,46,5695,2361,70,10,,80,10,3/23/2021 5:00
Allen,3,18003,Unknown,3052,1809,61,4922,1870,39,13,,53,14,3/23/2021 5:00
Allen,3,18003,White,62158,39753,988,102899,40741,1627,465,,2094,467,3/23/2021 5:00
Bartholomew,8,18005,Asian,485,186,28,699,214,28,,,29,,3/23/2021 5:00
Bartholomew,8,18005,Black or African American,208,112,5,325,117,,,,,,3/23/2021 5:00
Bartholomew,8,18005,Other Race,380,185,14,579,199,9,,,12,,3/23/2021 5:00
Bartholomew,8,18005,Unknown,419,219,18,656,237,8,,,10,,3/23/2021 5:00
Bartholomew,8,18005,White,17549,11411,274,29234,11685,362,201,,564,202,3/23/2021 5:00
Benton,4,18007,Asian,,,,,,,,,,,3/23/2021 5:00
Benton,4,18007,Black or African American,9,,,12,,,,,,,3/23/2021 5:00
Benton,4,18007,Other Race,30,26,,58,28,,,,,,3/23/2021 5:00
Benton,4,18007,Unknown,20,13,,35,15,,,,,,3/23/2021 5:00
Benton,4,18007,White,1340,860,16,2216,876,18,25,,45,27,3/23/2021 5:00
Blackford,6,18009,Asian,,,,6,,,,,,,3/23/2021 5:00
Blackford,6,18009,Black or African American,,,,5,,,,,,,3/23/2021 5:00
Blackford,6,18009,Other Race,18,9,,28,10,,,,,,3/23/2021 5:00
Blackford,6,18009,Unknown,55,37,,93,38,,,,,,3/23/2021 5:00
Blackford,6,18009,White,2498,1738,13,4249,1751,35,24,,59,24,3/23/2021 5:00
Boone,5,18011,Asian,644,385,19,1048,404,9,,,12,,3/23/2021 5:00
Boone,5,18011,Black or African American,280,160,21,461,181,,,,,,3/23/2021 5:00
Boone,5,18011,Other Race,368,231,7,606,238,6,,,8,,3/23/2021 5:00
Boone,5,18011,Unknown,542,330,27,899,357,8,,6,14,6,3/23/2021 5:00
Boone,5,18011,White,16750,10744,748,28242,11492,203,100,13,316,113,3/23/2021 5:00
Brown,8,18013,Asian,10,5,,15,5,,,,,,3/23/2021 5:00
Brown,8,18013,Black or African American,8,6,,14,6,,,,,,3/23/2021 5:00
Brown,8,18013,Other Race,38,24,,62,24,,,,,,3/23/2021 5:00
Brown,8,18013,Unknown,94,38,,136,42,,,,,,3/23/2021 5:00
Brown,8,18013,White,3502,2347,69,5918,2416,23,17,,40,17,3/23/2021 5:00
Carroll,4,18015,Asian,,,,6,,,,,,,3/23/2021 5:00
Carroll,4,18015,Black or African American,10,,,12,,,,,,,3/23/2021 5:00
Carroll,4,18015,Other Race,43,25,,68,25,,,,,,3/23/2021 5:00
Carroll,4,18015,Unknown,64,36,,102,38,,,,,,3/23/2021 5:00
Carroll,4,18015,White,2961,1923,31,4915,1954,41,28,,69,28,3/23/2021 5:00
Cass,4,18017,Asian,38,18,,59,21,,,,,,3/23/2021 5:00
Cass,4,18017,Black or African American,35,19,,55,20,,,,,,3/23/2021 5:00
Cass,4,18017,Other Race,243,126,6,375,132,11,,,11,,3/23/2021 5:00
Cass,4,18017,Unknown,371,195,15,581,210,,,,5,,3/23/2021 5:00
Cass,4,18017,White,6297,4282,127,10706,4409,143,62,,205,62,3/23/2021 5:00
Clark,9,18019,Asian,336,178,15,529,193,11,,,14,,3/23/2021 5:00
Clark,9,18019,Black or African American,1466,661,144,2271,805,35,17,,54,19,3/23/2021 5:00
Clark,9,18019,Other Race,711,397,65,1173,462,11,8,5,24,13,3/23/2021 5:00
Clark,9,18019,Unknown,992,484,83,1559,567,26,10,,36,10,3/23/2021 5:00
Clark,9,18019,White,25848,14786,2575,43209,17361,375,294,11,680,305,3/23/2021 5:00
Clay,7,18021,Asian,10,7,,18,8,,,,,,3/23/2021 5:00
Clay,7,18021,Black or African American,24,11,,35,11,,,,,,3/23/2021 5:00
Clay,7,18021,Other Race,152,124,,278,126,,,,,,3/23/2021 5:00
Clay,7,18021,Unknown,154,100,5,259,105,,,,5,,3/23/2021 5:00
Clay,7,18021,White,6280,4217,176,10673,4393,136,150,10,296,160,3/23/2021 5:00
Clinton,4,18023,Asian,13,5,,19,6,,,,,,3/23/2021 5:00
Clinton,4,18023,Black or African American,10,,,12,,,,,,,3/23/2021 5:00
Clinton,4,18023,Other Race,434,371,89,894,460,,,,,,3/23/2021 5:00
Clinton,4,18023,Unknown,124,68,8,200,76,,,,,,3/23/2021 5:00
Clinton,4,18023,White,5578,3996,158,9732,4154,21,12,,36,15,3/23/2021 5:00
Crawford,10,18025,Asian,,,,,,,,,,,3/23/2021 5:00
Crawford,10,18025,Black or African American,,,,,,,,,,,3/23/2021 5:00
Crawford,10,18025,Other Race,15,8,,23,8,,,,,,3/23/2021 5:00
Crawford,10,18025,Unknown,48,21,,71,23,5,,,5,,3/23/2021 5:00
Crawford,10,18025,White,1744,1056,92,2892,1148,40,,,44,,3/23/2021 5:00
Daviess,10,18027,Asian,18,8,,26,8,,,,,,3/23/2021 5:00
Daviess,10,18027,Black or African American,27,15,,43,16,,,,,,3/23/2021 5:00
Daviess,10,18027,Other Race,46,29,10,85,39,,,,,,3/23/2021 5:00
Daviess,10,18027,Unknown,180,123,54,357,177,5,,,8,,3/23/2021 5:00
Daviess,10,18027,White,4756,3350,151,8257,3501,136,77,7,220,84,3/23/2021 5:00
Dearborn,9,18029,Asian,34,18,,53,19,,,,,,3/23/2021 5:00
Dearborn,9,18029,Black or African American,34,13,,48,14,,,,,,3/23/2021 5:00
