Area,Population,Doses Administered
Anderson County,57863,7938
,,
Andrews County,17818,8005
,,
Angelina County,87607,24694
,,
Aransas County,24763,9281
,,
Archer County,8789,3459
,,
Armstrong County,1916,777
,,
Atascosa County,48828,11099
,,
Austin County,29565,10823
,,
Bailey County,7092,3087
,,
Bandera County,21763,6408
,,
Bastrop County,82577,20241
,,
Baylor County,3591,1775
,,
Bee County,32691,13334
,,
Bell County,342236,70115
,,
Bexar County,1925865,641699
,,
Blanco County,11279,4314
,,
Borden County,665,174
,,
Bosque County,18122,6315
,,
Bowie County,93858,18779
,,
Brazoria County,353999,121896
,,
Brazos County,219193,62653
,,
Brewster County,9216,5340
,,
Briscoe County,1546,752
,,
Brooks County,7180,3529
,,
Brown County,37834,9149
,,
Burleson County,17863,5425
,,
Burnet County,45750,13550
,,
Caldwell County,41401,9240
,,
Calhoun County,21807,5862
,,
Callahan County,13770,3731
,,
Cameron County,421750,160988
,,
Camp County,12813,2948
,,
Carson County,6032,1874
,,
Cass County,30087,5193
,,
Castro County,7787,2496
,,
Chambers County,40292,11566
,,
Cherokee County,51903,11079
,,
Childress County,7226,2367
,,
Clay County,10387,5216
,,
Cochran County,2904,1257
,,
Coke County,3275,1173
,,
Coleman County,8391,2229
,,
Collin County,944350,370536
,,
Collingsworth County,2996,1040
,,
Colorado County,21022,7367
,,
Comal County,135097,55013
,,
Comanche County,13495,4741
,,
Concho County,4233,1184
,,
Cooke County,39571,10319
,,
Coryell County,75389,12487
,,
Cottle County,1623,443
,,
Crane County,4839,1653
,,
Crockett County,3633,1363
,,
Crosby County,5861,2721
,,
Culberson County,2241,953
,,
Dallam County,7243,3244
,,
Dallas County,2586552,770551
,,
Dawson County,12964,2626
,,
Deaf Smith County,18899,4874
,,
Delta County,5215,1341
,,
Denton County,807047,270608
,,
DeWitt County,20435,5102
,,
Dickens County,2216,688
,,
Dimmit County,10663,5966
,,
Donley County,3387,1152
,,
Duval County,11355,5489
,,
Eastland County,18270,4848
,,
Ector County,158342,47643
,,
Edwards County,2055,1514
,,
Ellis County,168838,57528
,,
El Paso County,837654,321744
,,
Erath County,41482,10782
,,
Falls County,17299,4477
,,
