Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,12/13/20,US,12552,11029,1355,12552,11029,1355,11029,12552,1355,null,null,1421,11029,1421,1421
Admin,12/14/20,US,3751,3623,5,16303,14652,1360,7326,8151,680,null,null,15,14652,1436,718
Admin,12/15/20,US,49413,45945,26,65716,60597,1386,20199,21905,462,null,null,37,60597,1473,491
Admin,12/16/20,US,159199,152297,202,224915,212894,1588,53224,56228,397,null,null,210,212894,1683,420
Admin,12/17/20,US,271693,260661,505,496608,473555,2093,94711,99321,419,null,null,515,473555,2198,439
Admin,12/18/20,US,414070,402371,608,910678,875926,2701,145988,151779,450,null,null,608,875926,2806,467
Admin,12/19/20,US,180642,175802,723,1091320,1051728,3424,150247,155902,489,null,null,724,1051728,3530,504
Admin,12/20/20,US,103316,100981,505,1194636,1152709,3929,163097,168869,368,null,null,540,1152709,4070,378
Admin,12/21/20,US,378005,369441,832,1572641,1522150,4761,215357,222334,486,null,null,836,1522150,4906,495
Admin,12/22/20,US,445528,436146,2088,2018169,1958296,6849,271100,278921,780,null,null,2089,1958296,6995,788
Admin,12/23/20,US,564342,552141,1658,2582511,2510437,8507,328220,336799,988,null,null,1660,2510437,8655,996
Admin,12/24/20,US,193041,187451,863,2775552,2697888,9370,317762,325563,1040,null,null,865,2697888,9520,1046
Admin,12/25/20,US,12059,11950,52,2787611,2709838,9422,261987,268133,960,null,null,52,2709838,9572,966
Admin,12/26/20,US,137616,135062,355,2925227,2844900,9777,256167,261986,908,null,null,357,2844900,9929,914
Admin,12/27/20,US,92636,90731,326,3017863,2935631,10103,254703,260461,882,null,null,373,2935631,10302,890
Admin,12/28/20,US,572577,558291,2321,3590440,3493922,12424,281682,288257,1095,null,null,2324,3493922,12626,1102
Admin,12/29/20,US,701603,680311,3021,4292043,4174233,15445,316562,324839,1228,null,null,3025,4174233,15651,1236
Admin,12/30/20,US,820496,797124,5484,5112539,4971357,20929,351560,361432,1775,null,null,5487,4971357,21138,1783
Admin,12/31/20,US,412104,400505,2007,5524643,5371862,22936,381996,392727,1938,null,null,2008,5371862,23146,1946
Admin,1/1/21,US,45578,43335,1446,5570221,5415197,24382,386480,397515,2137,null,null,1505,5415197,24651,2154
Admin,1/2/21,US,248782,241925,2149,5819003,5657122,26531,401746,413396,2393,null,null,2156,5657122,26807,2411
Admin,1/3/21,US,129358,123105,2084,5948361,5780227,28615,406371,418642,2645,null,null,2086,5780227,28893,2655
Admin,1/4/21,US,626728,571886,42007,6575089,6352113,70622,408313,426378,8314,null,null,42019,6352113,70912,8326
Admin,1/5/21,US,787644,692058,82240,7362733,7044171,152862,409991,438670,19631,null,null,82248,7044171,153160,19644
Admin,1/6/21,US,982812,799842,165728,8345545,7844013,318590,410379,461858,42523,null,null,165745,7844013,318905,42538
Admin,1/7/21,US,1120890,830904,268549,9466435,8674917,587139,471865,563113,80600,null,null,268555,8674917,587460,80616
Admin,1/8/21,US,1183498,810493,350183,10649933,9485410,937322,581459,725673,130420,null,null,350198,9485410,937658,130429
Admin,1/9/21,US,487210,356041,123678,11137143,9841451,1061000,597761,759734,147781,null,null,123682,9841451,1061340,147790
Admin,1/10/21,US,237270,166812,66905,11374413,10008263,1127905,604005,775150,157041,null,null,66910,10008263,1128250,157051
Admin,1/11/21,US,1023578,692110,312787,12397991,10700373,1440692,621180,831843,195724,null,null,312800,10700373,1441050,195734
Admin,1/12/21,US,1198448,873872,304722,13596439,11574245,1745414,647153,890529,227507,null,null,304741,11574245,1745791,227518
Admin,1/13/21,US,1271691,991039,262473,14868130,12565284,2007887,674467,931797,241328,null,null,262483,12565284,2008274,241338
Admin,1/14/21,US,1261668,1116524,128477,16129798,13681808,2136364,715270,951909,221318,null,null,128487,13681808,2136761,221328
Admin,1/15/21,US,1204817,1078907,113165,17334615,14760715,2249529,753615,954954,187458,null,null,113179,14760715,2249940,187468
Admin,1/16/21,US,625221,552499,67638,17959836,15313214,2317167,781680,974670,179452,null,null,67647,15313214,2317587,179463
Admin,1/17/21,US,291597,250077,39305,18251433,15563291,2356472,793575,982431,175510,null,null,39306,15563291,2356893,175520
Admin,1/18/21,US,832498,612175,213713,19083931,16175466,2570185,782156,955134,161356,null,null,213726,16175466,2570619,161367
Admin,1/19/21,US,1289708,940293,333871,20373639,17115759,2904056,791645,968171,165520,null,null,333877,17115759,2904496,165529
Admin,1/20/21,US,1553749,1135236,399165,21927388,18250995,3303221,812244,1008465,185048,null,null,399172,18250995,3303668,185056
Admin,1/21/21,US,1570174,1293823,256284,23497562,19544818,3559505,837573,1052537,203306,null,null,256306,19544818,3559974,203316
Admin,1/22/21,US,1565309,1350973,196912,25062871,20895791,3756417,876439,1104036,215270,null,null,196925,20895791,3756899,215279
Admin,1/23/21,US,876600,724810,141402,25939471,21620601,3897819,901055,1139947,225807,null,null,141405,21620601,3898304,225816
Admin,1/24/21,US,379438,292901,81964,26318909,21913502,3979783,907173,1152496,231902,null,null,81968,21913502,3980272,231911
Admin,1/25/21,US,1302677,829276,456692,27621586,22742778,4436475,938187,1219665,266613,null,null,456702,22742778,4436974,266622
Admin,1/26/21,US,1601361,1034698,545727,29222947,23777476,4982202,951674,1264186,296878,null,null,545740,23777476,4982714,296888
Admin,1/27/21,US,1856033,1217513,611644,31078980,24994989,5593846,963428,1307370,327232,null,null,611657,24994989,5594371,327243
