Trends in Number of COVID-19 Vaccinations in the US,,,,,,,,,,,,,,,,,
Date generated: Mon Apr 19 2021 10:09:46 GMT-0400 (EDT),,,,,,,,,,,,,,,,,
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,12/13/20,US,12552,11029,1355,12552,11029,1355,11029,12552,1355,null,null,1421,11029,1421,1421
Report,12/13/20,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,12/13/20,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,12/14/20,US,3751,3623,5,16303,14652,1360,7326,8151,680,null,null,15,14652,1436,718
Report,12/14/20,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,12/14/20,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,12/15/20,US,49413,45945,26,65716,60597,1386,20199,21905,462,null,null,37,60597,1473,491
Report,12/15/20,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,12/15/20,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,12/16/20,US,159199,152297,202,224915,212894,1588,53224,56228,397,null,null,210,212894,1683,420
Report,12/16/20,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,12/16/20,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,12/17/20,US,271693,260661,505,496608,473555,2093,94711,99321,419,null,null,515,473555,2198,439
Report,12/17/20,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,12/17/20,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,12/18/20,US,414070,402371,608,910678,875926,2701,145988,151779,450,null,null,608,875926,2806,467
Report,12/18/20,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,12/18/20,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,12/19/20,US,180642,175802,723,1091320,1051728,3424,150247,155902,489,null,null,724,1051728,3530,504
Report,12/19/20,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,12/19/20,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,12/20/20,US,103316,100981,505,1194636,1152709,3929,163097,168869,368,null,null,540,1152709,4070,378
Report,12/20/20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,12/20/20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,12/21/20,US,378005,369441,832,1572641,1522150,4761,215357,222334,486,null,null,836,1522150,4906,495
Report,12/21/20,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
